timestamp,price_btc,market_cap_btc,total_volume_btc,price_yfi,market_cap_yfi,total_volume_yfi,price_mkr,market_cap_mkr,total_volume_mkr,price_enj,market_cap_enj,total_volume_enj
2024-01-04,42821.558989158,838208392904.177,43146162597.5675,7503.25432526193,249359183.965503,53268454.0884502,1816.04997307409,1677007643.53937,245884749.324028,0.33128436372904,330789294.340336,34174713.1735412
2024-01-05,44195.5785620997,866352960236.864,26123887042.7978,7694.47312455712,256379368.714199,45288912.0381299,1777.65713946321,1637151534.56267,149621722.158419,0.340521277512511,340196757.574528,20878688.4894061
2024-01-06,44113.6997338908,863690851062.025,29364675804.0104,7413.15697117136,246351891.047341,56259286.0702315,1737.27360730725,1597295584.71889,114901744.187211,0.320096747420153,319750314.612542,21029098.2202531
2024-01-07,43956.1207172015,861211168830.469,11841102132.2394,7893.42672685818,262013721.054202,93643733.4710194,1700.13638665579,1563468978.48251,90623768.0376913,0.305259159985172,305421012.506819,15727456.5635709
2024-01-08,43883.7438790517,856926317087.495,15144653805.3628,7368.81847444225,244730800.170973,53215462.268258,1740.70092179034,1597042528.37657,100459947.74432,0.289476873870023,288506540.581586,16037633.4602021
2024-01-09,46936.1855612175,919666641903.41,40821502383.5006,7743.57953081238,257881782.955998,46153410.6871111,1809.01636744805,1663116228.67121,192958303.676344,0.318120051541801,318022279.948288,28124956.6266679
2024-01-10,46105.946078287,902166917320.326,39887918405.7787,7587.88882702325,252118709.096372,41909570.2131266,1837.79408220441,1690908601.27333,144331673.167873,0.294791778817929,293719757.748512,24532555.3219595
2024-01-11,46632.3131480498,915259343942.036,52030057180.5707,7961.7464657506,265853510.886119,59570641.9016637,2024.42856527383,1858075742.78426,202909621.842807,0.316842461240282,316820420.770063,24138513.7849716
2024-01-12,46314.3555416027,909846384596.213,49198128806.3062,8152.36661630765,271305153.987197,33977168.949448,2144.26315120734,1971674563.3453,208372879.494947,0.331399510036438,461498829.417033,31120779.5164769
2024-01-13,42893.9296055048,838383512176.735,45913301456.0508,7814.01743741276,259541391.745477,49032005.7568878,2026.16013512331,1860050956.7425,149386817.852862,0.314575124423787,437113961.550649,27647296.8678028
2024-01-14,42848.4745164075,839198740717.084,19424747840.4784,8060.69076930543,267801713.005314,17408881.4717108,2069.19752604417,1907130899.54359,94172307.7944612,0.318700692668241,443851738.046712,18900883.8995167
2024-01-15,41800.9328219341,822907066751.378,16968959097.0765,7803.7761088879,259555627.009005,30330610.5704835,2032.52130586965,1882079763.07063,93682141.0744146,0.301996829777317,423237953.747423,16857190.4173631
2024-01-16,42587.3360383544,835225973285.856,22634527323.5631,7776.93365120562,258568068.132785,29134188.2292193,2013.90103686164,1857598204.79319,88584976.0046365,0.30464955510275,425121362.216808,17096070.6596318
2024-01-17,43148.0016434269,845770850849.578,22023116042.2753,7852.54532922342,261854797.914772,28187830.9906507,2011.16940206208,1855681223.22882,78769241.6985593,0.311864246154237,434679419.585106,19095104.6318428
